Time,Speed (mph),Speed (m/s),Distance (m),Grade (%),Grade (radians),F_aero (N),F_roll (N),F_grade (N),Acceleration (m/s^2),F_inertia (N),Fthrust (N),Fbrake (N),P_veh (W),P_veh (kW),a,b,Tg (Nm),Tm (Nm),Wg (rad/s),Wm (rad/s),Pbatt (kW),Teng (Nm),Weng (rad/s),Peng (kW)
1411,15.5,6.92912,12153.452959999991,4.173489223230834,0.041710686228968494,14.403811192320001,293.74428921881247,817.2924169602101,0.1341120000000009,268.2240000000018,1393.6645173713443,0.0,9656.86868060813,9.65686868060813,-3.909524872398622e-05,0.45907208764065843,-28.855493025493026,26.628855797565265,129.99570691077508,94.99823520000002,-212.31573356349736,103.87977489177489,104.71975511965977,11.277999891480327
1412,16.0,7.15264,12160.605599999992,3.9660349551804104,0.03963957466086566,15.34807769088,293.7690497490512,776.7322133699134,0.22351999999999972,447.03999999999945,1532.8893408098443,0.0,10964.205614650124,10.964205614650124,-3.885232166702265e-05,0.5153641729596622,-31.476940836940834,29.96807496252744,122.02811299077514,98.06269440000001,192.44221008822296,113.316987012987,104.71975511965977,12.277999891480327
1413,17.1,7.6443840000000005,12168.249983999991,3.721925950703986,0.03720208749566179,17.530982021836802,293.79657615193156,728.9927340052359,0.4917440000000006,983.4880000000012,2023.8082921790055,0.0,15470.767727800516,15.470767727800515,-3.8650107451287584e-05,0.7145849909864161,-39.71577681577682,44.35446475593179,150.1952995098993,104.80450464000003,398.5251106711394,142.97679653679654,117.41305877052761,17.277999891480327
1414,19.1,8.538464000000001,12176.78844799999,3.4236348748046783,0.03422298169137389,21.871610243788805,293.82784856919295,670.6395130335445,0.8940800000000007,1788.1600000000012,2774.4989718465276,0.0,23689.95958914859,23.689959589148593,-3.828568136570916e-05,1.0726750926186885,-40.09026936026936,98.13575712840012,392.500282688645,117.06234144000004,140.17014385544098,144.3249696969697,193.57288067573472,28.277999891480327
1415,21.1,9.432544,12186.22099199999,3.06520335086835,0.03064243923967171,26.691865893580797,293.86198381466704,600.4978249876921,0.8940799999999989,1788.1599999999978,2709.2116746959377,0.0,25554.75832688312,25.554758326883118,-3.7925448281244326e-05,1.1405142365892735,-40.46476190476191,92.40005629750506,406.3258001517692,129.32017824000002,82.27740173155325,145.67314285714286,206.26618432660257,30.277999891480327
1416,22.7,10.147808,12196.36879999999,2.649257642010488,0.026486381032275387,30.893402161459193,293.8968813567119,519.0723725982125,0.7152639999999995,1430.5279999999989,2274.3906561163826,0.0,23080.079695263074,23.080079695263073,-3.764029078721451e-05,1.018208393855432,-40.46476190476191,60.68444589782929,278.01374003573966,139.12644768,370.42345177313473,145.67314285714286,177.7062511121499,26.277999891480327
1417,22.9,10.237215999999998,12206.606015999989,2.2020411756447125,0.022016853569813095,31.44017742919679,293.92874582774914,431.4954673455417,0.08940799999999882,178.81599999999764,935.6803906024853,0.0,9578.76226556201,9.57876226556201,-3.986304598416975e-05,0.4416043246748443,-26.234045214045214,0.039505098660072235,12.075316894775218,140.35223136,-262.7436553391643,94.44256277056276,104.71975511965977,10.277999891480327
1418,22.7,10.147808,12216.753823999989,1.7359603427436165,0.017357859936765474,30.893402161459193,293.95571070269693,340.1969708685981,-0.08940799999999882,-178.81599999999764,486.2300837327566,0.0,4934.169533543937,4.934169533543937,-4.137898143540017e-05,0.2525084161572355,-12.752313612313612,2.309344471788876,15.262354462775146,139.12644768,212.55350469582262,45.908329004329005,104.71975511965977,5.277999891480327
1419,22.6,10.103104,12226.856927999988,1.254182136449159,0.012541163828405576,30.6218131304448,293.97688002687454,245.80036763917576,-0.04470399999999941,-89.40799999999882,480.99106079649636,0.0,4859.502710297325,4.859502710297326,-4.139467511463585e-05,0.24955817029044614,-12.752313612313612,1.927212966591192,16.855873246775083,138.51355584000004,131.34440879438463,45.908329004329005,104.71975511965977,5.277999891480327
1420,21.3,9.521952,12236.378879999987,0.7883203603678633,0.007883040309469931,27.200270967091203,293.9908651256008,154.50598982711566,-0.5811519999999994,-1162.303999999999,0.0,-686.6068740801913,0.0,0.0,-4.193193156063628e-05,0.06531221627340422,-3.3899999999999997,-8.813999999999998,37.57161743877508,130.54596192000002,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
