Optimal_Peng (kW),Optimal_Pbatt (kW),P_veh (kW)
9.277999891480327,0.1480429614888159,9.426042852969143
11.277999891480327,0.04362971178426456,11.321629603264592
12.277999891480327,0.9367276168928509,13.214727508373178
10.277999891480327,0.9323513794794849,11.210351270959812
9.277999891480327,0.9471221576929523,10.22512204917328
12.277999891480327,0.5035866047356716,12.781586496215999
13.277999891480327,0.6578331310539944,13.935833022534322
17.277999891480327,0.15531105028140857,17.433310941761736
21.277999891480327,0.9227854998516634,22.20078539133199
12.277999891480327,0.4698683901151064,12.747868281595434
11.277999891480327,0.370989393023887,11.648989284504214
12.277999891480327,0.4734430030940562,12.751442894574383
20.277999891480327,0.8256910574849634,21.10369094896529
23.277999891480327,0.2550249236701916,23.53302481515052
21.277999891480327,0.7367501322790488,22.014750023759376
18.277999891480327,0.5554515554495083,18.833451446929836
16.277999891480327,0.2909608275543789,16.568960719034706
12.277999891480327,0.47854296035440136,12.756542851834729
5.277999891480327,0.9765300989910894,6.254529990471417
3.2779998914803277,0.1440516328489898,3.4220515243293175
9.277999891480327,0.9198494469260243,10.197849338406352
10.277999891480327,0.7322926757580372,11.010292567238364
11.277999891480327,0.5665604125314427,11.84456030401177
9.277999891480327,0.8804480023573475,10.158447893837675
9.277999891480327,0.4205457715709926,9.69854566305132
5.277999891480327,0.04476176367083973,5.322761655151167
,,0.9115106048447761
