Peng (kW),Pbatt (kW),Fuel Rate (g/s)
10.277999891480327,3.4249726017195234,1.3435427989455933
5.277999891480327,1.7023776696297754,0.41351372731278424
1.2779998914803277,2.522413685704694,0.053711495439159325
8.277999891480327,2.6874969139895994,0.9134363205303346
9.277999891480327,2.5959264212495925,1.1176486632141531
9.277999891480327,3.4621421178246585,1.1176486632141531
8.277999891480327,2.731864189869907,0.9134363205303346
8.277999891480327,2.4064695317016613,0.9134363205303346
1.2779998914803277,4.758543251377459,0.053711495439159325
1.2779998914803277,-0.1573377424265591,0.053711495439159325
1.2779998914803277,-0.9356489635048032,0.053711495439159325
1.2779998914803277,-0.9444669809052644,0.053711495439159325
1.2779998914803277,-0.9991386887881235,0.053711495439159325
1.2779998914803277,-1.0573376036311677,0.053711495439159325
