We (rad/s),Te (Nm),Fuel Consumption (g/s)
105.452793405497,58.4238128136105,0.333094884562312
133.308248267327,82.3041464217681,0.532399074731396
107.966067528369,77.6688065121122,0.417200442904704
105.766952670856,74.8473736802472,0.398174240307827
105.662232915737,70.2892582351749,0.380053407888722
117.07668622378,79.389013167866,0.457883600838409
135.612082879959,82.5422882816522,0.54229945020805
118.123883774976,79.6317279975888,0.462829909499188
110.479341651241,78.1646630525197,0.428394561893128
136.973439696515,82.6986602343635,0.548247580442117
150.587007862071,84.1073605132865,0.607726464025949
186.505883868114,87.110340271188,0.766336261833658
231.011779793969,90.8195836823917,0.975009257197209
146.712376922643,83.685856875095,0.590543703834294
138.334796513071,82.8295378362512,0.554081317321515
151.634205413267,84.2201283098602,0.612384550556595
230.592900773491,90.7942319756864,0.973063516602828
253.840686410055,92.3477752907725,1.08469091075254
243.368710898089,91.6521277661693,1.03398332597602
217.607651138653,89.9345785281586,0.912543614808896
199.491133502952,88.3865896485491,0.827207250719111
165.561932844182,85.4235322058451,0.673261863155799
105.766952670856,74.4795407504059,0.396740403193896
105.348073650378,48.4778546001083,0.293558015826133
142.209427452498,83.1942887018629,0.570715855521386
150.587007862071,84.0816239764208,0.607583697525838
159.069308026763,84.8812168219476,0.644857724635869
143.151905248575,83.3246196483568,0.57499722466221
138.64895577843,82.8751624153124,0.555508225092127
105.662232915737,68.538506252092,0.373236148372295
